Time Interval,F1,F2,F3,F4,F5,F6
1917,255,255,255,255,255,255
1918,255,255,255,255,255,255
1919,255,255,255,255,255,255
1920,243,247,247,247,247,243
1921,223,227,231,231,235,231
1922,195,203,203,207,211,215
1923,163,171,175,179,183,187
1924,135,143,147,151,155,155
1925,119,127,131,131,135,135
1926,143,147,151,151,155,155
1927,187,191,191,191,195,195
1928,247,247,247,247,251,251
1929,255,255,255,255,255,255
1930,255,255,255,255,255,255
1931,255,255,255,255,255,255
1932,255,255,255,255,255,255
1933,255,255,255,255,255,255
1934,255,255,255,255,255,255
1935,255,255,255,255,255,255
1936,255,255,255,255,255,255
1937,255,255,255,255,255,255
1938,255,255,255,255,255,255
1939,255,255,255,255,255,255
1940,255,255,255,255,255,255
1941,255,255,255,255,255,255
1942,255,255,255,255,255,255
1943,195,179,171,167,151,143
1944,19,15,11,7,0,0
1945,0,0,0,0,0,0
1946,0,0,0,0,0,0
1947,0,0,0,0,0,0
1948,0,0,0,0,0,0
1949,0,0,0,0,0,0
1950,0,0,0,7,23,31
1951,79,87,91,95,103,111
1952,143,151,151,155,163,167
1953,191,195,199,199,207,207
1954,231,235,235,239,243,243
1955,255,255,255,255,255,255
1956,255,255,255,255,255,255
1957,255,255,255,255,255,255
1958,255,255,255,255,255,255
1959,255,255,255,255,255,255
1960,255,255,255,255,255,255
1961,255,255,255,255,255,255
1962,255,255,255,255,255,255
1963,255,255,255,255,255,255
1964,255,255,255,255,255,255
1965,255,255,255,255,255,255
1966,255,255,255,255,255,255
1967,207,203,199,199,199,199
1968,83,83,83,83,87,87
1969,71,71,71,71,71,71
1970,67,67,67,67,71,71
1971,55,63,63,67,71,71
1972,43,47,51,55,59,63
1973,31,39,43,47,51,55
1974,27,35,39,39,47,51
1975,31,35,39,39,43,47
1976,31,35,35,39,43,43
1977,23,31,31,35,43,43
1978,11,19,27,31,39,43
1979,0,11,15,23,31,35
1980,11,19,23,31,39,43
1981,23,35,39,43,55,59
1982,55,63,67,71,75,79
1983,83,83,87,87,91,95
1984,99,99,99,99,103,103
1985,95,95,95,99,99,103
1986,71,75,79,83,91,91
1987,43,55,59,63,75,79
1988,27,35,39,47,55,59
1989,15,15,19,23,31,35
1990,0,0,0,0,0,0
1991,0,0,0,0,0,0
1992,0,0,0,0,0,0
1993,0,0,3,7,11,15
1994,251,255,255,255,255,255
1995,235,227,219,219,211,207
1996,99,91,87,87,83,83
1997,31,27,23,23,23,19
1998,7,3,3,0,3,3
1999,23,19,19,19,19,19
2000,151,155,155,159,163,163
2001,231,239,239,243,247,251
2002,255,255,255,255,255,255
2003,255,255,255,255,255,255
2004,255,255,255,255,255,255
2005,255,255,255,255,255,255
2006,255,255,255,255,255,255
